City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,menongue,-14.6585,17.691,29.37,15,5,2.2,AO,1689426444
224,mao,39.8885,4.2658,30.31,62,0,5.14,ES,1689426444
225,tamanrasset,22.785,5.5228,34.95,8,20,2.57,DZ,1689426223
226,ripon,54.1352,-1.5212,20.02,72,75,8.75,GB,1689426445
227,port alfred,-33.5906,26.891,25.66,37,33,1.79,ZA,1689426445
228,saudarkrokur,65.7461,-19.6394,5.42,94,100,4.91,IS,1689426445
229,sanliurfa,37.2128,38.7817,37.93,8,0,5.25,TR,1689426446
230,swan hill,-35.3378,143.5544,7.52,92,11,3.84,AU,1689426446
231,guarapari,-20.6667,-40.4975,21.05,62,37,3.86,BR,1689426166
232,tuy hoa,13.0833,109.3,29.19,69,100,5.76,VN,1689426447
233,luorong,24.4058,109.6086,28.36,82,35,2.34,CN,1689426447
234,bambanglipuro,-7.95,110.2833,24.45,85,77,3.43,ID,1689426448
235,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,100,75,2.0,RU,1689426148
236,harper,4.375,-7.7169,26.96,75,25,3.58,LR,1689426448
237,mbandaka,0.0487,18.2603,29.9,53,55,1.38,CD,1689426449
238,buka,40.8108,69.1986,37.51,11,0,8.41,UZ,1689426449
239,korla,41.7597,86.1469,37.99,12,2,0.63,CN,1689426449
240,i-n-salah,27.1935,2.4607,43.83,4,0,0.4,DZ,1689426450
241,berrahal,36.8353,7.4533,33.85,20,0,4.46,DZ,1689426450
242,kristiansund,63.1115,7.732,22.03,49,75,5.14,NO,1689426450
243,cavan,53.9908,-7.3606,13.67,97,100,5.65,IE,1689426450
244,weno,7.4515,151.8468,27.97,83,100,1.54,FM,1689426451
245,ust-nera,64.5667,143.2,18.5,69,97,2.5,RU,1689426451
246,dudinka,69.4058,86.1778,10.89,63,100,4.83,RU,1689426451
247,ancud,-41.8697,-73.8203,5.64,89,52,1.3,CL,1689426451
248,hasaki,35.7333,140.8333,27.9,87,100,7.47,JP,1689426452
249,kattivakkam,13.2167,80.3167,35.05,69,100,5.06,IN,1689426224
250,karachi,24.9056,67.0822,31.9,58,75,9.77,PK,1689425947
251,waddan,29.1614,16.139,38.33,13,0,5.85,LY,1689426452
252,mulanje,-16.0316,35.5,20.63,57,81,3.54,MW,1689426453
